# hebrew versification -> KJV standard; single-verse diffs only (identity elsewhere). Source: STEPBible TVTMS (CC-BY). shoresh versification.build
source_ref	standard_ref	action
2SA 19:13	2SA 19:12	Renumber verse
2SA 19:14	2SA 19:13	Renumber verse
2SA 19:15	2SA 19:14	Renumber verse
2SA 19:16	2SA 19:15	Renumber verse
2SA 19:17	2SA 19:16	Renumber verse
2SA 19:18	2SA 19:17	Renumber verse
2SA 19:19	2SA 19:18	Renumber verse
2SA 19:2	2SA 19:1	Renumber verse
2SA 19:20	2SA 19:19	Renumber verse
2SA 19:21	2SA 19:20	Renumber verse
2SA 19:22	2SA 19:21	Renumber verse
2SA 19:23	2SA 19:22	Renumber verse
2SA 19:24	2SA 19:23	Renumber verse
2SA 19:25	2SA 19:24	Renumber verse
2SA 19:26	2SA 19:25	Renumber verse
2SA 19:27	2SA 19:26	Renumber verse
2SA 19:28	2SA 19:27	Renumber verse
2SA 19:29	2SA 19:28	Renumber verse
2SA 19:3	2SA 19:2	Renumber verse
2SA 19:30	2SA 19:29	Renumber verse
2SA 19:31	2SA 19:30	Renumber verse
2SA 19:32	2SA 19:31	Renumber verse
2SA 19:33	2SA 19:32	Renumber verse
2SA 19:34	2SA 19:33	Renumber verse
2SA 19:35	2SA 19:34	Renumber verse
2SA 19:36	2SA 19:35	Renumber verse
2SA 19:37	2SA 19:36	Renumber verse
2SA 19:38	2SA 19:37	Renumber verse
2SA 19:39	2SA 19:38	Renumber verse
2SA 19:4	2SA 19:3	Renumber verse
2SA 19:40	2SA 19:39	Renumber verse
2SA 19:41	2SA 19:40	Renumber verse
2SA 19:42	2SA 19:41	Renumber verse
2SA 19:43	2SA 19:42	Renumber verse
2SA 19:44	2SA 19:43	Renumber verse
2SA 19:5	2SA 19:4	Renumber verse
2SA 19:6	2SA 19:5	Renumber verse
2SA 19:7	2SA 19:6	Renumber verse
2SA 19:8	2SA 19:7	Renumber verse
2SA 19:9	2SA 19:8	Renumber verse
DAN 3:31	DAN 4:1	Renumber verse
DAN 3:32	DAN 4:2	Renumber verse
DAN 3:33	DAN 4:3	Renumber verse
DAN 4:1	DAN 4:4	Renumber verse
DAN 4:10	DAN 4:13	Renumber verse
DAN 4:11	DAN 4:14	Renumber verse
DAN 4:12	DAN 4:15	Renumber verse
DAN 4:13	DAN 4:16	Renumber verse
DAN 4:14	DAN 4:17	Renumber verse
DAN 4:15	DAN 4:18	Renumber verse
DAN 4:16	DAN 4:19	Renumber verse
DAN 4:17	DAN 4:20	Renumber verse
DAN 4:18	DAN 4:21	Renumber verse
DAN 4:19	DAN 4:22	Renumber verse
DAN 4:2	DAN 4:5	Renumber verse
DAN 4:20	DAN 4:23	Renumber verse
DAN 4:21	DAN 4:24	Renumber verse
DAN 4:22	DAN 4:25	Renumber verse
DAN 4:23	DAN 4:26	Renumber verse
DAN 4:24	DAN 4:27	Renumber verse
DAN 4:25	DAN 4:28	Renumber verse
DAN 4:26	DAN 4:29	Renumber verse
DAN 4:27	DAN 4:30	Renumber verse
DAN 4:28	DAN 4:31	Renumber verse
